genreId,name
65jzgk2k,Action: Side-Scrolling
65j66knk,Actions.
q5wpzrng,Action\Role-Playing
g2zo04nl,Action_Platformer
92dv932l,Acton Platformer
g2zzer2l,Ad
72yopd5d,Adult
q27kgenl,Adult content featured
l2kj9k51,ADV
o75mg539,Adventure
94n4ww50,Adventure / Indie
45x43m2d,adventure and indie
6509045m,Adventure Arcade Platformer
r2lvxkn7,Adventure Game
r2log427,"Adventure game, Indie game, Puzzle, Casual game, Adventure"
y5g73d5e,Adventure games
p236om26,Adventure Map
72y7v62d,Adventure Maps
el283ynr,Adventure Platformer
rnvdjrnq,Adventure RPG
r2l6e427,Adventure Story
r2l6op27,"Adventure, Action"
l28emw2r,"Adventure, Action, Platformer, Puzzle"
4n4e1850,"Adventure, Educational"
y5gkvp2e,"Adventure, Entertainment"
y5gxmdne,"Adventure, General"
dnqeqjn8,"Adventure, Indie"
y5gv4r5e,"Adventure, Indie, RPG, Simulation, Strategy"
q27wjenl,"adventure, platform"
x5e4zmn4,"Adventure, Puzzle"
75mr68n3,Adventure-Platformer
d5o0o35w,Adventure/Puzzle
y5gxykne,Adventures
dnqe0rn8,Aerial combat
dnqor958,Aerial-Combat Action Adventure
1n9l7znm,Agar.io
q5wdgzng,Aiming
dnqj6r28,Air Hockey
92dx735l,Alcohol
1npvlwn7,Aliens
4n4pd8n0,All Genres
q27q11nl,All Missions
6507or2m,All of them
rnvdeknq,Alternate History
72ypwo2d,Alternative
45xk79nd,Amateur flight simulation
l2kyrr51,amiga
92dpwz2l,Analog-Horror
x5e7q1n4,Anarchy Server
d5ovq02w,Android
m21djz24,Android Game
7d5oqlnw,Animal
p23o0d26,animals
d1npyn7o,Anime
l2ko66n1,Anime / Manga
g2zz3w2l,Anime Fighter
rnvj7qnq,Anime Game
65097x5m,Anthology
o75m08n3,Anti Bullying
dnqvkr28,Anton
72y1xy2d,any%
rnvzo95q,Ape
45x49m2d,Apocalypse
92dvwz2l,Apocalyptic
6509j45m,Aquatic
1np0lw27,Arab Funnies
vx5ey1n4,Arcade
y5g7mk5e,Arcade / Action
r2lw8p57,Arcade Baseball
g2zq362l,Arcade Fighter
q5wk9m5g,Arcade Flight
4n4p88n0,Arcade flight simulator
q27woonl,Arcade FPSO
rnvj4xnq,Arcade Game
4n4exj50,Arcade Plataform
x5eq6754,arcade platform
q4n6mo59,Arcade Platformer
wr2lrp27,Arcade Racer
x5e4wrn4,Arcade Racing
y5gjmd5e,Arcade Shoot Em Up
l2kgje51,Arcade Shooter
4n46gj20,Arcade Style
650e6onm,Arcade-Racing
92dm0r2l,Arcade: Adventure
l2klzzn1,Archery
rnvvyknq,Arena
94n4vdn0,Arena Brawler
4n4p0on0,Arena Fighter
75mrggn3,Arena FPS
mr2r18nz,Arena shooter
650kvonm,Arenafps
y5gx3rne,Arenashooter
l28wlw2r,arm wrestling
x5eoo124,Army
4n4m18n0,arpg
65jj0m5k,Arrow keys
q274gx2l,Art
6507yr2m,Art game
72yp4y2d,Artifical Intelligence
x5exk124,Artificial Intelligence
r2l64k27,Artillery
p23wxx56,Assassination
r2ror92z,Asteroid
d5ogp02w,Asymmetric Survival Horror
y5gj1d5e,Asymmetrical Horror
r2lor827,Asymmetrical Horror Game
4n6keo29,atari
45x4692d,atari ST
rnvxkp2q,atmosphere
l2kg8w51,Atmospheric
1n997znm,Atomspheric Adventure Platformer.
1n9xpvnm,Attachment software
45xqgvnd,Audio Visual Enhancement
y5ggvp5e,Außerirdische
650k3onm,Auto Battler
p23x7d26,Auto chess
q27qeenl,Auto Combat
1n9lgxnm,Auto Racing
q27y8o2l,Auto Runner
mr2re95z,Auto-scroller
l2kjye51,Auto-Sidescroller
m21d9d24,Automation
1n9epd2m,autorun
y5gg8r5e,"autoscroller,"
92ddjr2l,Aventure
r2ro182z,Aventures
r2lrq427,Avoidance
65jv6k5k,Avoider
4n46r820,Awful
4n46lp20,Backrooms
p231d3n6,Bad
92dxw35l,Bad Game
1npvkvn7,Badminton
q27y6e2l,Balance
q271112l,Ball
75ml8en3,Barbie
1n9lmxnm,Base Building
r2r9j62z,Baseball
61n9vv5m,Basketball
45xj9m2d,Battle
p23okk26,"Battle Action, Fighter"
q5wp3rng,Battle Royale
y5gvwr5e,Battle RPG
1npe6p57,Battleship
