parentGameId,variableId,variableName,category,scopeType,scopeLevel,isSubcategory,defaultValue
76rx0xq6,ylqm3pvn,Difficulty (Boss Rush),wk68nmr2,global,,true,jq6kxvnl
76rx0xq6,gnxv34gl,Zangetsu Type (Boss Rush),wk68nmr2,global,,true,81wwd791
76rx0xq6,e8mrpqvl,Zangetsu Type (Ep 1 Co-op),9kv9o832,global,,true,4qyej731
76rx0xq6,ylqm3ozn,Zangetsu Type (Ep 2 Co-op),rklrl58k,global,,true,9qjyx20q
76rx0xq6,gnxv32pl,Zangetsu Type (Ep EX Co-op),ndx493v2,global,,true,81ww5791
76rx0xq6,dloy96d8,Zangetsu Type (Final Ep Co-op),w203gqo2,global,,true,013e5xkq
76rx0xq6,9l7795pl,Difficulty (Boss Rush Co-op),wdm6x53k,global,,true,z19g85jl
76rx0xq6,yn253men,Zangetsu Type (Boss Rush),wdm6x53k,global,,true,81pwd4el
76rx0xq6,jlzwx3xl,Style,,global,,true,5legexp1
76rx0xq6,ql67r3j8,Character (Single),zd3x8vvd,global,,true,klrw7e01
76rx0xq6,onvj4pwn,Completion (Final Ep),xd1vl14d,global,,true,jq6k79nl
76rx0xq6,jlzw2xql,Completion (Final Ep Co-op),w203gqo2,global,,true,5legmnp1
m1mx5e46,gnxjey4l,Difficulty,,full-game,,true,rqv9vw7l
y654w03d,r8r4gg0n,Platform,,global,,true,9qj3wrol
pdv23046,jlzrxd08,Any%,,single-level,ldylq8k9,false,
46w242q6,68k7pozl,Mode,9d858e6d,global,,true,013gordl
46w242q6,ylqokvm8,System,,global,,true,0q5r7zn1
46w242q6,r8r412wn,wich dungeon,xd1w96w2,global,,true,21gm8wo1
o6gngz51,2lg157ol,MODE,,global,,true,814zzyvl
9d38wkg1,6njz04pl,Amount,n2ye8q1k,global,,true,814p35w1
9d38wkg1,ylqqkg3l,Level,wdm536x2,global,,true,jqzw3e4q
nd2eoj3d,5lypgkyl,Plaform,,global,,true,21gdm6o1
yd4k9eg6,38dmyee8,Character,ndxly5jd,global,,true,814wz7kl
yd4k9eg6,9l75v948,1Cpu Character,824eyj3k,global,,false,
yd4k9eg6,kn00197n,Player 1,wk66meek,global,,false,
yd4k9eg6,ql6rqwvl,Player 2,wk66meek,global,,false,
yd4k9eg6,onv405mn,Difficulty,,global,,true,0136g7x1
k6qw57m6,j84dx6w8,Level,02q7zy7d,full-game,,true,z19pyj4l
k6qwkvz6,2lgy7pol,Any%,,global,,true,
k6qwkvz6,wl3ekq6n,100%,,global,,true,
k6qwkvz6,wleyo5xn,Any%,,global,,false,
k6qwkvz6,68ky934l,100%,,global,,false,
j1lqlgz6,ylp753kl,Version (IL),,all-levels,,false,
j1lqlgz6,r8r72g7n,Input,,global,,false,
j1lqlgz6,onv73d5n,Pauses,,global,,false,
j1lqlgz6,onvve5wn,Sub-category,,full-game,,true,5lm75xjl
pdv2xev6,ql6w1wwn,Game Version,,global,,true,1pyyrkk1
j1n8xn91,7891223n,Versions,,global,,true,jqzoz3m1
w6j7q8x6,dlo6gv5l,Segment,,full-game,,true,lr3eynjl
j1ll5le1,onvv447n,Targets,7kj9r442,full-game,,true,zqoeom4l
j1ll5le1,0nwp0008,Targets,zdnyqp9k,full-game,,true,z19ey44q
j1ll5le1,p85d557l,Targets,zd3qymyk,full-game,,true,81pkoxnl
j1ll5le1,38dwmm0n,Targets,9kvnxgjd,full-game,,true,4qy2ond1
j1ll5le1,68k57738,System,,full-game,,true,013k7vyq
j1ll5le1,2lgre76n,Difficulty,,global,,false,
j1ll5le1,wledg22n,Version,,full-game,,false,
j1ll5le1,e8mrk2wl,Character,,full-game,,false,
m1mx5qx6,38degq4n,Map,,full-game,,false,139xdwx1
m1mx5qx6,gnx6o44n,Difficulty,,full-game,,false,
268eqg96,9l7x7z4n,Full Game / Demo,jdz6jmv2,full-game,,true,21gvdr81
268eqg96,5ly1jx2l,Any%/100%,,full-game,,true,jq6nvxvl
268eqg96,68k5p3k8,Glitches,,global,,true,4qym9d2q
o6gljond,j845er5n,Items,824j5ew2,full-game,,false,
o6gljond,rn1z0epl,Actual Time,824j5ew2,global,,false,
o6gljond,yn2j54d8,Full Game / Demo,824j5ew2,global,,true,klrv4wmq
o6gljond,2lg33g3n,Shells,9kv65gj2,full-game,,false,
o6gljond,wl311398,Actual Time,9kv65gj2,full-game,,false,
o6gljond,wlewwxkl,Actual Time,zd3onmyd,all-levels,,false,
o6gljond,68koodyn,Items,zd3onmyd,all-levels,,false,
o6gljond,jlzrxmy8,Meme Category,9d8e1w7d,full-game,,true,klrmezoq
26898891,jlzpwx5n,Maps (Fireteam (Z),rklo69rk,full-game,,true,
26898891,9l7y757l," Difficulties (Fireteam (Z)",rklo69rk,full-game,,true,
26898891,yn205mjl,Players (Fireteam (Z),rklo69rk,full-game,,true,
26898891,kn0kj008,Old Weapons (Fireteam (Z),rklo69rk,full-game,,true,
